permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
10530,0.6817970052254572,807.472777577381,6.661880682928757,-0.3930913334791629,-0.05526303311834546,0.010309807142857143,3,2835,168,US-OH,0.807472777577381,Manufacturing,Q4
10547,0.21906952618874057,283.397252175,5.130075874996499,0.2006106389377226,0.6687604169864276,0.030432524777777775,1,3827,180,US-MN,0.283397252175,Manufacturing,Q3
10550,0.04960511599645491,33.84946648162778,2.9936988405299334,0.38443529920660663,0.2692559633672839,0.022542102388888888,1,8020,180,US-CA,0.03384946648162778,Services,Q1 micro
10563,0.09819618958799743,14.922001143333333,2.5070081017443666,1.8786238066334608,-1.3782797999089025,-0.19867984166666666,1,6030,12,US-WA,0.014922001143333332,FIRE,Q1 micro
10568,0.06045620215876265,8.833452451612905,2.1584416011399292,1.4765621810048783,-0.4022324722683365,0.03572806290322579,1,1542,31,US-GA,0.008833452451612905,Construction,Q1 micro
10597,0.09907315665884912,14.775464461538462,2.590071417108376,-0.004130485487593427,0.1825749783450729,0.08965324692307694,1,3571,13,US-NJ,0.014775464461538462,Manufacturing,Q1 micro
10606,0.7606864316260077,2142.637851085,7.517220665963997,-0.7290944545681675,0.16001109475192693,0.015840688888888888,3,3491,180,US-MA,2.142637851085,Manufacturing,Q4
10629,0.5127616793414829,2732.3097071666666,7.769330252210962,-0.6434101654588652,0.006580454150294489,0.007705872222222222,2,6022,180,US-PA,2.7323097071666664,FIRE,Q5 mega
10638,0.2891152091965835,276.638582,5.608077557895366,-0.24728682207275232,-0.4026724428748869,-0.02885173333333333,1,6020,15,US-PA,0.27663858199999997,FIRE,Q3
10644,0.3266949779586347,51.39548,3.922648667751507,0.35477977637517744,-0.31313419589978747,0.017501964912280697,1,3845,57,US-GA,0.05139548,Manufacturing,Q1 micro
10649,0.24943062127897261,258.21809011,5.301485117867499,0.11789512963932722,0.46888238264436344,0.023370246777777777,1,4210,180,US-AR,0.25821809010999996,Transp/Util,Q3
10656,0.5373400860735146,354.16207598373984,5.6010878426000055,0.04278708040127661,-0.02876770507410225,-0.003729442926829269,2,5160,123,US-NY,0.35416207598373983,WholesaleTrade,Q3
10659,0.6744742229078626,669.4655616278482,6.467136436725546,-0.315910059653877,0.10605944224815127,0.021534,3,8070,79,US-NJ,0.6694655616278482,Services,Q3
10661,0.10585671218064106,22.12119782527778,2.9777323946554666,0.4625409575558634,-0.013968571486813923,0.00755124683333333,1,2833,180,US-HI,0.02212119782527778,Manufacturing,Q1 micro
10693,0.734877357903685,4280.6480968333335,8.21312392600626,-0.5929777688057611,0.14129245401616902,0.016278866666666666,3,8093,180,US-AL,4.280648096833334,Services,Q5 mega
10696,0.6136329822549561,32933.73670535561,10.0578355732558,-0.8815302909526866,0.2592495960494736,0.016669005555555557,3,7370,180,US-WI,32.93373670535561,Services,Q5 mega
10769,0.14957825062185842,25.442780456521742,3.1003379300827207,0.6397104327225199,0.4594196406429249,0.04451161304347826,1,6022,46,US-MA,0.025442780456521742,FIRE,Q1 micro
10772,0.04928335482637059,11.486062584789474,2.4237612762769762,1.3661527612005255,-0.9573060191568751,-0.04495897263157894,1,5045,19,US-GA,0.011486062584789474,WholesaleTrade,Q1 micro
10777,0.34707564998407087,4466.788513285055,8.09468448001198,-0.6482494535178749,0.18140029531182564,0.016520616666666668,2,6020,180,US-NC,4.4667885132850556,FIRE,Q5 mega
10779,0.21991954488573298,44.12118055638889,3.692411076473877,0.5175992245084184,0.160177871541654,0.019816929277777777,1,3663,180,US-FL,0.044121180556388896,Manufacturing,Q1 micro
10781,0.049291479003906236,77.76046695625,4.302998397849243,-0.3111693876703927,0.055184829189170934,0.006642352272727273,1,6020,176,US-SC,0.07776046695625,FIRE,Q2
10785,0.4506397583811802,65.83927666666666,4.165160949364919,0.08676596304792757,0.22759304395712002,0.09529533333333369,2,3676,12,US-CA,0.06583927666666667,Manufacturing,Q1 micro
10812,0.46250255637878224,1489.8792012361112,7.289567407314747,-0.6652932393697807,-0.028162486102446222,0.002949683333333334,2,4210,180,US-IA,1.489879201236111,Transp/Util,Q4
10822,0.04803847949053379,48.748970625,3.8465980275605918,0.6056013979641873,-0.334562717279784,0.03318458333333333,1,6351,24,US-TX,0.048748970625,FIRE,Q1 micro
10825,0.3635362335945301,143.14185763809525,4.832624638008244,1.4543965324257488,-1.2985499831370395,-0.05280513761904762,2,6022,21,US-SC,0.14314185763809525,FIRE,Q2
10838,0.09214282726050088,100.3630981384,4.3962901164136845,1.0736650409764557,-0.4996736296746721,-0.007592980480000055,1,2830,125,US-CA,0.10036309813840001,Manufacturing,Q2
10853,0.4445917169025714,403.36931105882354,5.763585271505613,0.10799835837139392,0.4638040469087021,0.027801669999999997,2,7822,85,US-OR,0.40336931105882357,Services,Q3
