wave,state,band,band_lbl,pass3,n_raw,n_eff,mandate_exposure
2012,NV,5,55-64,0.22843284311359274,82,77.33438019226311,0.0
2012,NV,6,65+,0.3230011112065258,76,73.73616359369406,0.0
2012,NY,1,18-24,0.20207154634521707,58,54.83765289182865,1.0
2012,NY,2,25-34,0.21503333349334677,90,82.47349168369013,1.0
2012,NY,3,35-44,0.27831938937461004,81,76.52408962994151,0.0
2012,NY,4,45-54,0.23286856963654934,101,93.50197220959598,0.0
2012,NY,5,55-64,0.3031250108105405,97,93.31170935055788,0.0
2012,NY,6,65+,0.3279592686086126,73,70.62772778655867,0.0
2012,OH,1,18-24,0.1470003225340498,45,42.74160620913729,0.0
2012,OH,2,25-34,0.1322925239742359,80,75.24451920380655,0.0
2012,OH,3,35-44,0.15277528239282648,91,88.17191789257396,0.0
2012,OH,4,45-54,0.22974433548516252,109,105.27519348061617,0.0
2012,OH,5,55-64,0.27645055812375857,96,93.76922310890868,0.0
2012,OH,6,65+,0.22324509323649702,80,78.09696745756946,0.0
2012,OK,1,18-24,0.20769976926618414,49,43.64462953376376,0.0
2012,OK,2,25-34,0.13323156337930542,84,76.2765743212671,0.0
2012,OK,3,35-44,0.20745281690109496,83,76.67051393185253,0.0
2012,OK,4,45-54,0.32931322930811524,104,97.69903783071442,0.0
2012,OK,5,55-64,0.26816521073532845,91,87.00194370683514,0.0
2012,OK,6,65+,0.33440307831694793,89,86.68808073312428,0.0
2012,OR,1,18-24,0.1319537577034224,42,38.25753884172301,0.0
2012,OR,2,25-34,0.207936495245783,73,66.7307416785581,0.0
2012,OR,3,35-44,0.22324399913525725,86,81.08076592673451,0.0
2012,OR,4,45-54,0.1585176147617665,101,95.5196742027578,0.0
2012,OR,5,55-64,0.35467833484517475,113,109.32852108835729,0.0
2012,OR,6,65+,0.35005398730674014,85,82.73674183660346,0.0
2012,PA,1,18-24,0.17184509687044222,53,49.48402926498466,0.0
2012,PA,2,25-34,0.13602934927834248,71,66.92495301774491,0.0
2012,PA,3,35-44,0.27177637554742545,82,78.45870595223343,0.0
2012,PA,4,45-54,0.25310764339383784,110,105.35746156843702,0.0
2012,PA,5,55-64,0.3024342189823709,92,88.9218899091947,0.0
2012,PA,6,65+,0.3272572460278118,92,90.5605651877279,0.0
2012,RI,1,18-24,0.0861160820212125,48,43.14870286689145,0.0
2012,RI,2,25-34,0.16028540778616343,76,69.36429738726241,0.0
2012,RI,3,35-44,0.25815363719853296,83,76.60224995195334,0.0
