ym,slope,se_hc1,se_state,n,n_states
2017-12,0.11811138963397652,0.08015576328706554,0.08147746138724254,3264,51
2018-01,-0.10800968672967792,0.08402710202182181,0.06927508299828936,3258,51
2018-02,0.028461884293744598,0.05088611123303394,0.05466787957742079,3253,51
2018-03,-0.10522702473437198,0.07297926562306581,0.032541787032975,3245,51
2018-04,-0.09835349924436046,0.0687049805926167,0.07336662248750508,3241,51
2018-05,0.11767754284592465,0.07727250291970605,0.05249224822155769,3257,51
2018-06,-0.059433899309199074,0.07314950448814683,0.1007008939444601,3255,51
2018-07,0.10508947741021576,0.06582407496541058,0.0684743550371372,3263,51
2018-08,-0.006410898091374542,0.10100480113269547,0.10564108594241872,3262,51
2018-09,0.03617846998079671,0.06284876652677233,0.03201647341999026,3267,51
2018-10,-0.020127503989987455,0.07995961785454593,0.0812012384535394,3252,51
2018-11,0.031013129497778773,0.09560482467182409,0.08449549631563022,3258,51
2018-12,-0.021890854448956908,0.05976055694621859,0.050027538052044095,3264,51
2019-01,-0.11703343885940262,0.09907426517864958,0.11791721130926121,3254,51
2019-02,0.06364153781975986,0.07634320655183088,0.07235391544723385,3251,51
2019-03,-0.0036310795461180173,0.0807982364581595,0.09453565212923953,3244,50
2019-04,-0.04256701069391943,0.07078792660303466,0.06395150443443978,3246,50
2019-05,0.049148329169737395,0.07441182162350529,0.10285078428407836,3253,50
2019-06,-0.06683218468919304,0.07561081597414265,0.07698055970301992,3265,50
2019-07,0.10484759394356692,0.06628171372174967,0.07261688536097025,3281,50
2019-08,-0.02416898836073778,0.08396944412715436,0.05724702512300878,3285,50
2019-09,0.011831426848950442,0.07849818111070905,0.08285384911366542,3277,50
2019-10,-0.026834121526978953,0.06388227189045607,0.06854068376582141,3280,50
2019-11,0.010101795238000987,0.10821147613938754,0.0666317474426554,3281,50
2019-12,-0.06471949374493143,0.059292539670780485,0.06992866270683618,3268,50
2020-01,0.0016781845917132317,0.0775539565084359,0.044135284816814536,3264,50
2020-02,0.0937003877384916,0.08833598659228516,0.06714272078077738,3257,50
2020-03,0.029314513328679466,0.11871111011062445,0.15221319698618457,3265,50
2020-04,-0.31978115284489167,0.08371341614146734,0.08549951582889638,3255,50
2020-05,0.13158805555199898,0.12560958543957979,0.10916822911294358,3268,50
2020-06,-0.048119681458128484,0.1115579986240453,0.12100232694345474,3276,50
2020-07,-0.05924780534683089,0.13168132820093836,0.14113482307359065,3278,50
2020-08,-0.07893069231374428,0.10668143205736559,0.09271823379642548,3288,50
2020-09,0.07315693128812588,0.10508942035723741,0.08711865036850243,3284,50
